"GENERA","N_NT_MISMATCH_SPACER","COUNT","TOTAL","PROP","COUNT_PHAST","COUNT_SPACER","COUNT_HIT","N_MM0","N_MM7","N_PHAST","N_SPACER","N_HIT","N_PROPHAGE_MISMATCH","ANY_MATCH","TOTAL_SHUFFLED","N_GENOME","N_GENOME_PHAST","PROP_GENOME_PHAST","SD_GENOME_PHAST"
"Acidovorax",3,4,23,0.173913043478261,33,798,49,0,23,33,798,49,13,13,0,111,18,0.162162162162162,0.0349859167708635
"Acidovorax",0,0,23,0,33,798,49,0,23,33,798,49,13,13,0,111,18,0.162162162162162,0.0349859167708635
"Acidovorax",1,1,23,0.0434782608695652,33,798,49,0,23,33,798,49,13,13,0,111,18,0.162162162162162,0.0349859167708635
"Acidovorax",4,6,23,0.260869565217391,33,798,49,0,23,33,798,49,13,13,0,111,18,0.162162162162162,0.0349859167708635
"Acidovorax",5,7,23,0.304347826086957,33,798,49,0,23,33,798,49,13,13,1,111,18,0.162162162162162,0.0349859167708635
"Acinetobacter",1,797,5746,0.138705186216498,409,8294,7125,1328,4418,409,8294,7125,264,266,0,4775,102,0.0213612565445026,0.00209236724391836
"Acinetobacter",5,906,5746,0.157674904281239,409,8294,7125,1328,4418,409,8294,7125,264,266,0,4775,102,0.0213612565445026,0.00209236724391836
"Acinetobacter",4,992,5746,0.172641837800209,409,8294,7125,1328,4418,409,8294,7125,264,266,0,4775,102,0.0213612565445026,0.00209236724391836
"Acinetobacter",3,815,5746,0.141837800208841,409,8294,7125,1328,4418,409,8294,7125,264,266,1,4775,102,0.0213612565445026,0.00209236724391836
"Acinetobacter",2,908,5746,0.158022972502611,409,8294,7125,1328,4418,409,8294,7125,264,266,7,4775,102,0.0213612565445026,0.00209236724391836
"Acinetobacter",0,1328,5746,0.231117298990602,409,8294,7125,1328,4418,409,8294,7125,264,266,0,4775,102,0.0213612565445026,0.00209236724391836
"Actinobacillus",3,15,131,0.114503816793893,60,227,137,74,57,60,227,137,25,25,0,55,21,0.381818181818182,0.0655096187040484
"Actinobacillus",5,5,131,0.0381679389312977,60,227,137,74,57,60,227,137,25,25,0,55,21,0.381818181818182,0.0655096187040484
"Actinobacillus",0,74,131,0.564885496183206,60,227,137,74,57,60,227,137,25,25,0,55,21,0.381818181818182,0.0655096187040484
"Actinobacillus",2,20,131,0.152671755725191,60,227,137,74,57,60,227,137,25,25,0,55,21,0.381818181818182,0.0655096187040484
"Actinobacillus",4,2,131,0.0152671755725191,60,227,137,74,57,60,227,137,25,25,0,55,21,0.381818181818182,0.0655096187040484
"Actinobacillus",1,15,131,0.114503816793893,60,227,137,74,57,60,227,137,25,25,0,55,21,0.381818181818182,0.0655096187040484
"Aeromonas",3,6,26,0.230769230769231,44,378,34,4,22,44,378,34,12,13,0,380,18,0.0473684210526316,0.0108972055495183
"Aeromonas",0,4,26,0.153846153846154,44,378,34,4,22,44,378,34,12,13,1,380,18,0.0473684210526316,0.0108972055495183
"Aeromonas",4,4,26,0.153846153846154,44,378,34,4,22,44,378,34,12,13,0,380,18,0.0473684210526316,0.0108972055495183
"Aeromonas",5,7,26,0.269230769230769,44,378,34,4,22,44,378,34,12,13,0,380,18,0.0473684210526316,0.0108972055495183
"Aeromonas",1,2,26,0.0769230769230769,44,378,34,4,22,44,378,34,12,13,1,380,18,0.0473684210526316,0.0108972055495183
"Aeromonas",2,3,26,0.115384615384615,44,378,34,4,22,44,378,34,12,13,21,380,18,0.0473684210526316,0.0108972055495183
"Aggregatibacter",5,0,61,0,16,778,68,44,17,16,778,68,8,8,55,90,6,0.0666666666666667,0.0262936879248872
"Aggregatibacter",1,5,61,0.0819672131147541,16,778,68,44,17,16,778,68,8,8,0,90,6,0.0666666666666667,0.0262936879248872
"Aggregatibacter",3,3,61,0.0491803278688525,16,778,68,44,17,16,778,68,8,8,0,90,6,0.0666666666666667,0.0262936879248872
"Aggregatibacter",0,44,61,0.721311475409836,16,778,68,44,17,16,778,68,8,8,0,90,6,0.0666666666666667,0.0262936879248872
"Aggregatibacter",2,5,61,0.0819672131147541,16,778,68,44,17,16,778,68,8,8,1,90,6,0.0666666666666667,0.0262936879248872
"Aggregatibacter",4,4,61,0.0655737704918033,16,778,68,44,17,16,778,68,8,8,10,90,6,0.0666666666666667,0.0262936879248872
"Alicycliphilus",0,1,2,0.5,21,174,2,1,1,21,174,2,1,1,0,13,7,0.538461538461538,0.13826415911891
"Alicycliphilus",5,0,2,0,21,174,2,1,1,21,174,2,1,1,1,13,7,0.538461538461538,0.13826415911891
"Alicycliphilus",2,1,2,0.5,21,174,2,1,1,21,174,2,1,1,1,13,7,0.538461538461538,0.13826415911891
"Alicycliphilus",1,0,2,0,21,174,2,1,1,21,174,2,1,1,0,13,7,0.538461538461538,0.13826415911891
"Alicycliphilus",4,0,2,0,21,174,2,1,1,21,174,2,1,1,0,13,7,0.538461538461538,0.13826415911891
"Alicycliphilus",3,0,2,0,21,174,2,1,1,21,174,2,1,1,2,13,7,0.538461538461538,0.13826415911891
"Anaerococcus",1,6,27,0.222222222222222,29,274,45,2,25,29,274,45,12,12,71,33,8,0.242424242424242,0.074600903623838
"Anaerococcus",0,2,27,0.0740740740740741,29,274,45,2,25,29,274,45,12,12,0,33,8,0.242424242424242,0.074600903623838
"Anaerococcus",3,2,27,0.0740740740740741,29,274,45,2,25,29,274,45,12,12,0,33,8,0.242424242424242,0.074600903623838
"Anaerococcus",4,4,27,0.148148148148148,29,274,45,2,25,29,274,45,12,12,8,33,8,0.242424242424242,0.074600903623838
"Anaerococcus",5,5,27,0.185185185185185,29,274,45,2,25,29,274,45,12,12,0,33,8,0.242424242424242,0.074600903623838
"Anaerococcus",2,8,27,0.296296296296296,29,274,45,2,25,29,274,45,12,12,0,33,8,0.242424242424242,0.074600903623838
"Azospirillum",4,1,3,0.333333333333333,33,465,29,0,3,33,465,29,16,16,5,48,21,0.4375,0.071602745233685
"Azospirillum",0,0,3,0,33,465,29,0,3,33,465,29,16,16,0,48,21,0.4375,0.071602745233685
"Azospirillum",2,0,3,0,33,465,29,0,3,33,465,29,16,16,82,48,21,0.4375,0.071602745233685
"Azospirillum",1,0,3,0,33,465,29,0,3,33,465,29,16,16,0,48,21,0.4375,0.071602745233685
"Azospirillum",5,1,3,0.333333333333333,33,465,29,0,3,33,465,29,16,16,0,48,21,0.4375,0.071602745233685
"Azospirillum",3,1,3,0.333333333333333,33,465,29,0,3,33,465,29,16,16,0,48,21,0.4375,0.071602745233685
"Bacillus",3,262,1515,0.172937293729373,1302,6168,2583,110,1405,1302,6168,2583,571,574,0,4087,308,0.075360900415953,0.0041291137550764
"Bacillus",4,293,1515,0.193399339933993,1302,6168,2583,110,1405,1302,6168,2583,571,574,0,4087,308,0.075360900415953,0.0041291137550764
"Bacillus",0,110,1515,0.0726072607260726,1302,6168,2583,110,1405,1302,6168,2583,571,574,0,4087,308,0.075360900415953,0.0041291137550764
"Bacillus",1,176,1515,0.116171617161716,1302,6168,2583,110,1405,1302,6168,2583,571,574,0,4087,308,0.075360900415953,0.0041291137550764
"Bacillus",2,221,1515,0.145874587458746,1302,6168,2583,110,1405,1302,6168,2583,571,574,0,4087,308,0.075360900415953,0.0041291137550764
"Bacillus",5,453,1515,0.299009900990099,1302,6168,2583,110,1405,1302,6168,2583,571,574,0,4087,308,0.075360900415953,0.0041291137550764
"Bacteroides",5,5,54,0.0925925925925926,81,2171,77,15,39,81,2171,77,17,17,0,793,37,0.0466582597730139,0.00748948540533872
"Bacteroides",1,12,54,0.222222222222222,81,2171,77,15,39,81,2171,77,17,17,0,793,37,0.0466582597730139,0.00748948540533872
"Bacteroides",4,8,54,0.148148148148148,81,2171,77,15,39,81,2171,77,17,17,0,793,37,0.0466582597730139,0.00748948540533872
"Bacteroides",3,9,54,0.166666666666667,81,2171,77,15,39,81,2171,77,17,17,0,793,37,0.0466582597730139,0.00748948540533872
"Bacteroides",0,15,54,0.277777777777778,81,2171,77,15,39,81,2171,77,17,17,2,793,37,0.0466582597730139,0.00748948540533872
